id,templateId,skillId,"domain",stem,choiceA,choiceB,choiceC,choiceD,correctLetter,correctText,"choiceLengths","correctLength","lengthRatios",flags,source
SP5403_FLIP_010,,LEG-S01,DBDM,"A school psychologist in California is reviewing historical special education placement practices. The psychologist learns that in the past, African American students were disproportionately placed in special education programs for students with intellectual disabilities based primarily on IQ test scores. Which of the following court cases addressed this issue of cultural bias in IQ testing and discriminatory placement practices?",Larry P. v. Riles,"Mills v. Board of Education of the District of Columbia",Lau v. Nichols,"PARC v. Commonwealth of Pennsylvania",A,Larry P. v. Riles,A=17|B=55|C=14|D=36,17.00,A=1.00|B=3.24|C=0.82|D=2.12,"length-mismatch",ETS
SP5403_FLIP_011,,LEG-S01,Academic,"A school district has a significant number of students who speak limited English. These students are placed in general education classrooms but receive no additional language support services. The students are struggling academically because they cannot understand instruction delivered only in English. Which of the following court cases established that schools must provide meaningful access to education for students with limited English proficiency?",Lau v. Nichols,Larry P. v. Riles,"Mills v. Board of Education of the District of Columbia","Board of Education v. Rowley",A,Lau v. Nichols,A=14|B=17|C=55|D=28,14.00,A=1.00|B=1.21|C=3.93|D=2.00,"length-mismatch",ETS
GEN-MBH-T16-mwt51a,MBH-T16,"NEW-4-MentalHealthImpact",Academic,"A student experiencing trauma is likely to show which impact on academic performance?","Impact on academic performance, engagement, and learning","Using a single intervention approach without considering individual needs or resp...","Disclose confidential information to unauthorized personnel","Applying play therapy approaches to adolescent concerns",A,"Impact on academic performance, engagement, and learning",A=56|B=84|C=59|D=55,56.00,A=1.00|B=1.50|C=1.05|D=0.98,"none","generated"
GEN-MBH-T16-3v5g7,MBH-T16,"NEW-4-MentalHealthImpact",C&C,"A student experiencing depression is likely to show which impact on learning?","Prescribe medication for the student","Focusing on behavior modification when underlying emotional needs require attention","Impact on academic performance, engagement, and learning","Applying adult diagnostic criteria without considering developmental variations a...",C,"Impact on academic performance, engagement, and learning",A=36|B=83|C=56|D=84,56.00,A=0.64|B=1.48|C=1.00|D=1.50,"irrelevant-domain","generated"
GEN-MBH-T16-1yvjp2,MBH-T16,"NEW-4-MentalHealthImpact",DBDM,"A student experiencing depression is likely to show which impact on test-taking?","Applying play therapy approaches to adolescent concerns","Using punishment-based approaches to address behavior without understanding under...","Decide on placement without examining evaluation results","Impact on academic performance, engagement, and learning",D,"Impact on academic performance, engagement, and learning",A=55|B=84|C=56|D=56,56.00,A=0.98|B=1.50|C=1.00|D=1.00,"none","generated"
GEN-MBH-T15-yha9xk,MBH-T15,"NEW-4-DevelopmentalInterventions",Academic,"A school psychologist is planning an intervention for a high school student who experiences anxiety. Which approach is most developmentally appropriate?","Relying solely on medication without behavioral supports or environmental modifications","Abstract, discussion-based approaches with longer sessions and peer-focused activities","Allow full copying and release of test protocols","Using individual therapy strategies when group intervention is appropriate",B,"Abstract, discussion-based approaches with longer sessions and peer-focused activities",A=87|B=86|C=48|D=74,86.00,A=1.01|B=1.00|C=0.56|D=0.86,"none","generated"
GEN-MBH-T15-1dye4,MBH-T15,"NEW-4-DevelopmentalInterventions",Academic,"A school psychologist is planning an intervention for a kindergarten student who experiences anxiety. Which approach is most developmentally appropriate?","Concrete, play-based, visual strategies with shorter sessions","Applying school-based interventions when intensive outpatient treatment is needed","Using punishment-based approaches to address behavior without understanding underlying c...","Concrete",A,"Concrete, play-based, visual strategies with shorter sessions",A=61|B=81|C=91|D=8,61.00,A=1.00|B=1.33|C=1.49|D=0.13,"length-mismatch, single-word","generated"
GEN-ACAD-T10-y98cke,ACAD-T10,"NEW-3-AccommodationsModifications",Academic,"A student with a learning disability needs a reduced assignment load. This is an example of:","Determine appropriate punishment for the behavior","Use a diagnostic assessment for weekly monitoring","A modification (changes what the student learns)","Reading difficulties cause behavior problems because they are correlated",C,"A modification (changes what the student learns)",A=49|B=49|C=48|D=72,48.00,A=1.02|B=1.02|C=1.00|D=1.50,"irrelevant-domain","generated"
GEN-CC-T09-vri4i0,CC-T09,"NEW-2-FamilyCollaboration",C&C,"A school psychologist is working with a family from a collectivist culture who expresses concerns about the school's approach. What is the most effective strategy?","Using a directive approach when collaboration is needed","Include students with severe conduct disorders in group counseling","Build trust by understanding family values and adapting communication styles","Rushing to action before problem identification and relationship building",C,"Build trust by understanding family values and adapting communication styles",A=55|B=66|C=76|D=73,76.00,A=0.72|B=0.87|C=1.00|D=0.96,"none","generated"
GEN-CC-T09-wa796g,CC-T09,"NEW-2-FamilyCollaboration",C&C,"A school psychologist is working with a family from a collectivist culture who has difficulty attending meetings. What is the most effective strategy?","Identify and address barriers to engagement, such as scheduling or transportation","Focusing solely on the student without seeking teacher input or collaboration","Applying organizational consultation strategies to individual teacher consultation","Prescribe treatment without proper authorization",A,"Identify and address barriers to engagement, such as scheduling or transportation",A=81|B=77|C=82|D=48,81.00,A=1.00|B=0.95|C=1.01|D=0.59,"none","generated"
GEN-CC-T09-yzifuw,CC-T09,"NEW-2-FamilyCollaboration",C&C,"A school psychologist is working with a family from a different cultural background who has difficulty attending meetings. What is the most effective strategy?","Prescribing solutions before understanding the problem or building rapport","Identify and address barriers to engagement, such as scheduling or transportation","Identify","Applying organizational consultation strategies to individual teacher consultation",B,"Identify and address barriers to engagement, such as scheduling or transportation",A=74|B=81|C=8|D=82,81.00,A=0.91|B=1.00|C=0.10|D=1.01,"length-mismatch, single-word","generated"
GEN-CC-T10-bbg7ik,CC-T10,"NEW-2-CommunityAgencies",C&C,"A school psychologist needs to coordinate services for a student who would benefit from postsecondary transition planning. What is the most appropriate approach for working with community agencies?","Schedule assessment for next week","Collecting data before establishing rapport and understanding family values","Facilitate interagency collaboration to connect the student with employment and postsecondary education opportunities","Using problem-solving consultation when mental health intervention is needed",C,"Facilitate interagency collaboration to connect the student with employment and postsecondary education opportunities",A=33|B=75|C=117|D=76,117.00,A=0.28|B=0.64|C=1.00|D=0.65,"length-mismatch","generated"
GEN-CC-T10-dbtzi6,CC-T10,"NEW-2-CommunityAgencies",C&C,"A school psychologist needs to coordinate services for a student who needs vocational support. What is the most appropriate approach for working with community agencies?","Coordinate services by understanding agency roles, facilitating communication between systems, and ensuring seamless service delivery","Implementing consultation without establishing entry and rapport first","Deny access to records without legal basis","Prescribing solutions before understanding the problem or building rapport",A,"Coordinate services by understanding agency roles, facilitating communication between systems, and ensuring seamless service delivery",A=133|B=70|C=42|D=74,133.00,A=1.00|B=0.53|C=0.32|D=0.56,"length-mismatch","generated"
GEN-DBDM-T22-sb7b18,DBDM-T22,"NEW-1-LowIncidenceExceptionalities",DBDM,"When assessing a student with multiple severe disabilities, the school psychologist should:","Use a diagnostic assessment for weekly monitoring","Adapt assessment procedures, consider medical factors, involve specialists, and use appropriate accommodations","Allow full copying and release of test protocols","Decide on placement without examining evaluation results",B,"Adapt assessment procedures, consider medical factors, involve specialists, and use appropriate accommodations",A=49|B=110|C=48|D=56,110.00,A=0.45|B=1.00|C=0.44|D=0.51,"length-mismatch","generated"
GEN-DBDM-T22-9itema,DBDM-T22,"NEW-1-LowIncidenceExceptionalities",DBDM,"When assessing a student with a severe physical disability, the school psychologist should:","Schedule assessment for next week","Adapt assessment procedures","Adapt assessment procedures, consider medical factors, involve specialists, and use appropriate accommodations","Use a diagnostic assessment for weekly monitoring",C,"Adapt assessment procedures, consider medical factors, involve specialists, and use appropriate accommodations",A=33|B=27|C=110|D=49,110.00,A=0.30|B=0.25|C=1.00|D=0.45,"length-mismatch","generated"
GEN-SWP-T10-f3bgcv,SWP-T10,"NEW-5-EducationalPolicies",Academic,"A school is considering ability tracking for students who have varying academic needs. What should the school psychologist recommend?","Consider the limitations of tracking and ensure equal access to opportunities","Apply adult diagnostic criteria directly to children","Use a screening tool to determine eligibility","Apply the rule absolutely without considering context",A,"Consider the limitations of tracking and ensure equal access to opportunities",A=77|B=52|C=45|D=53,77.00,A=1.00|B=0.68|C=0.58|D=0.69,"none","generated"
"GEN-SWP-T10-wtfngp",SWP-T10,"NEW-5-EducationalPolicies",Academic,"A school is considering tracking students into different academic programs for students who are performing below grade level. What should the school psychologist recommend?","Reading difficulties cause behavior problems because they are correlated","Schedule assessment for next week","Consider the limitations of tracking and ensure equal access to opportunities","Use curriculum-based measurement for comprehensive evaluation",C,"Consider the limitations of tracking and ensure equal access to opportunities",A=72|B=33|C=77|D=61,77.00,A=0.94|B=0.43|C=1.00|D=0.79,"length-mismatch","generated"
"GEN-FSC-T05-5c9ngz",FSC-T05,NEW-7-FamilySystems,DBDM,"A core concept of Family Systems Theory is:","Include students with severe conduct disorders in group counseling","Implement an intervention without reviewing assessment data","Events affecting one family member affect the whole system","Use a diagnostic assessment for weekly monitoring",C,"Events affecting one family member affect the whole system",A=66|B=59|C=58|D=49,58.00,A=1.14|B=1.02|C=1.00|D=0.84,"irrelevant-domain","generated"
GEN-RES-T11-efezcm,RES-T11,"NEW-9-ProgramEvaluation",DBDM,"A school psychologist wants to evaluate the effectiveness of a mental health program. What is the most comprehensive approach?","Contact the student's parents immediately","Use a diagnostic assessment for weekly monitoring","Diagnose the student with a medical condition","Collect outcome data, process data, stakeholder feedback, and compare to baseline or control groups",D,"Collect outcome data, process data, stakeholder feedback, and compare to baseline or control groups",A=41|B=49|C=45|D=99,99.00,A=0.41|B=0.49|C=0.45|D=1.00,"length-mismatch","generated"
GEN-RES-T11-795f7h,RES-T11,"NEW-9-ProgramEvaluation",DBDM,"A school psychologist wants to evaluate the effectiveness of a academic support program. What is the most comprehensive approach?","Include students with severe conduct disorders in group counseling","Collect outcome data, process data, stakeholder feedback, and compare to baseline or control groups","Use progress monitoring tools for program evaluation","Make a determination based solely on parent report",B,"Collect outcome data, process data, stakeholder feedback, and compare to baseline or control groups",A=66|B=99|C=52|D=50,99.00,A=0.67|B=1.00|C=0.53|D=0.51,"none","generated"
GEN-MBH-T16-w6eyil,MBH-T16,"NEW-4-MentalHealthImpact",DBDM,"A student experiencing ADHD is likely to show which impact on school engagement?","Intervention before assessment","Impact on academic performance, engagement, and learning","Relying solely on medication without behavioral supports or environmental modific...","Applying school-based interventions when intensive outpatient treatment is needed",B,"Impact on academic performance, engagement, and learning",A=30|B=56|C=84|D=81,56.00,A=0.54|B=1.00|C=1.50|D=1.45,"none","generated"
GEN-MBH-T16-icjxve,MBH-T16,"NEW-4-MentalHealthImpact",Academic,"A student experiencing anxiety is likely to show which impact on academic performance?","School psychologists every use standardized assessments","Impact on academic performance, engagement, and learning","Applying school-based interventions when intensive outpatient treatment is needed","Using a single intervention approach without considering individual needs or resp...",B,"Impact on academic performance, engagement, and learning",A=55|B=56|C=81|D=84,56.00,A=0.98|B=1.00|C=1.45|D=1.50,"none","generated"
GEN-MBH-T16-3v5g7,MBH-T16,"NEW-4-MentalHealthImpact",Academic,"A student experiencing depression is likely to show which impact on learning?","Impact on academic performance, engagement, and learning","Applying play therapy approaches to adolescent concerns","Using a single intervention approach without considering individual needs or resp...","Investigate the abuse allegations before reporting",A,"Impact on academic performance, engagement, and learning",A=56|B=55|C=84|D=50,56.00,A=1.00|B=0.98|C=1.50|D=0.89,"irrelevant-domain","generated"
GEN-MBH-T15-53ofgg,MBH-T15,"NEW-4-DevelopmentalInterventions",Academic,"A school psychologist is planning an intervention for a elementary school student who has difficulty managing emotions. Which approach is most developmentally appropriate?","Using cognitive behavioral therapy techniques for trauma-focused needs","Concrete, play-based, visual strategies with shorter sessions","A replacement behavior that serves a different function","Using punishment-based approaches to address behavior without understanding underlying c...",B,"Concrete, play-based, visual strategies with shorter sessions",A=70|B=61|C=55|D=91,61.00,A=1.15|B=1.00|C=0.90|D=1.49,"irrelevant-domain","generated"
GEN-MBH-T15-gvj5ao,MBH-T15,"NEW-4-DevelopmentalInterventions",C&C,"A school psychologist is planning an intervention for a high school student who has behavioral challenges. Which approach is most developmentally appropriate?","Implementing interventions without understanding the underlying function or maintaining factors","Abstract, discussion-based approaches with longer sessions and peer-focused activities","Provide direct instruction in reading","Using individual therapy strategies when group intervention is appropriate",B,"Abstract, discussion-based approaches with longer sessions and peer-focused activities",A=95|B=86|C=37|D=74,86.00,A=1.10|B=1.00|C=0.43|D=0.86,"irrelevant-domain, length-mismatch","generated"
GEN-ACAD-T10-gccqo6,ACAD-T10,"NEW-3-AccommodationsModifications",C&C,"A student with ADHD needs assistive technology for writing. This is an example of:","Use progress monitoring tools for program evaluation","Make disciplinary decisions about the student","Attention","An accommodation (changes how the student accesses the curriculum)",D,"An accommodation (changes how the student accesses the curriculum)",A=52|B=45|C=9|D=66,66.00,A=0.79|B=0.68|C=0.14|D=1.00,"irrelevant-domain, length-mismatch, single-word","generated"
GEN-ACAD-T10-5i35q1,ACAD-T10,"NEW-3-AccommodationsModifications",Academic,"A student with a sensory impairment needs a reduced assignment load. This is an example of:","Prescribe treatment without proper authorization","Use a screening tool to determine eligibility","Provide the best possible education","A modification (changes what the student learns)",D,"A modification (changes what the student learns)",A=48|B=45|C=35|D=48,48.00,A=1.00|B=0.94|C=0.73|D=1.00,"irrelevant-domain","generated"
GEN-ACAD-T10-cuomeq,ACAD-T10,"NEW-3-AccommodationsModifications",Academic,"A student with a learning disability needs assistive technology for writing. This is an example of:","Breach confidentiality for general concerns about student well-being","An accommodation (changes how the student accesses the curriculum)","Investigate the abuse allegations before reporting","Use a screening tool to determine eligibility",B,"An accommodation (changes how the student accesses the curriculum)",A=68|B=66|C=50|D=45,66.00,A=1.03|B=1.00|C=0.76|D=0.68,"irrelevant-domain","generated"
"GEN-CC-T09-n1gdr6",CC-T09,"NEW-2-FamilyCollaboration",C&C,"A school psychologist is working with a family from a diverse cultural background who seems resistant to intervention recommendations. What is the most effective strategy?","Rushing to action before problem identification and relationship building","Using a directive approach when collaboration is needed","Build trust by underst","Build trust by understanding family values and adapting communication styles",D,"Build trust by understanding family values and adapting communication styles",A=73|B=55|C=22|D=76,76.00,A=0.96|B=0.72|C=0.29|D=1.00,"length-mismatch","generated"
GEN-CC-T09-f15239,CC-T09,"NEW-2-FamilyCollaboration",C&C,"A school psychologist is working with a family from a different cultural background who seems resistant to intervention recommendations. What is the most effective strategy?","Build trust by understanding family values and adapting communication styles","Using a directive approach when collaboration is needed","Using a one-size-fits-all approach without considering cultural or contextual factors","Investigate the abuse allegations before reporting",A,"Build trust by understanding family values and adapting communication styles",A=76|B=55|C=85|D=50,76.00,A=1.00|B=0.72|C=1.12|D=0.66,"irrelevant-domain","generated"
GEN-CC-T10-bbg7ik,CC-T10,"NEW-2-CommunityAgencies",C&C,"A school psychologist needs to coordinate services for a student who would benefit from postsecondary transition planning. What is the most appropriate approach for working with community agencies?","Facilitate interagency collaboration to connect the student with employment and postsecondary education opportunities","Implementing consultation without establishing entry and rapport first","Making decisions unilaterally without collaboration or family partnership","Attention",A,"Facilitate interagency collaboration to connect the student with employment and postsecondary education opportunities",A=117|B=70|C=73|D=9,117.00,A=1.00|B=0.60|C=0.62|D=0.08,"irrelevant-domain, length-mismatch, single-word","generated"
GEN-CC-T10-2pv6ex,CC-T10,"NEW-2-CommunityAgencies",DBDM,"A school psychologist needs to coordinate services for a student who requires mental health services. What is the most appropriate approach for working with community agencies?","Rushing to action before problem identification and relationship building","Make a determination based solely on parent report","Coordinate services by understanding agency roles, facilitating communication between systems, and ensuring seamless service delivery","Focusing on individual student needs when system-wide change is required",C,"Coordinate services by understanding agency roles, facilitating communication between systems, and ensuring seamless service delivery",A=73|B=50|C=133|D=72,133.00,A=0.55|B=0.38|C=1.00|D=0.54,"length-mismatch","generated"
GEN-DBDM-T22-9itema,DBDM-T22,"NEW-1-LowIncidenceExceptionalities",DBDM,"When assessing a student with a severe physical disability, the school psychologist should:","Use a diagnostic assessment for weekly monitoring","Provide direct instruction only","Adapt assessment procedures, consider medical factors, involve specialists, and use appropriate accommodations","Implement an intervention without reviewing assessment data",C,"Adapt assessment procedures, consider medical factors, involve specialists, and use appropriate accommodations",A=49|B=31|C=110|D=59,110.00,A=0.45|B=0.28|C=1.00|D=0.54,"length-mismatch","generated"
GEN-SWP-T10-d6sx3k,SWP-T10,"NEW-5-EducationalPolicies",DBDM,"A school is considering tracking students into different academic programs for students who are immature for their grade. What should the school psychologist recommend?","Use curriculum-based measurement for comprehensive evaluation","Consider the limitations of tracking and ensure equal access to opportunities","Implement an intervention without reviewing assessment data","Apply the rule absolutely without considering context",B,"Consider the limitations of tracking and ensure equal access to opportunities",A=61|B=77|C=59|D=53,77.00,A=0.79|B=1.00|C=0.77|D=0.69,"none","generated"
GEN-SWP-T10-r7fpak,SWP-T10,"NEW-5-EducationalPolicies",C&C,"A school is considering grade retention for students who are performing below grade level. What should the school psychologist recommend?","Use an individual assessment for universal screening","Diagnose the student with a medical condition","The program resulted in improvement because scores increased after implementation","Question the effectiveness of retention and consider evidence-based alternatives",D,"Question the effectiveness of retention and consider evidence-based alternatives",A=52|B=45|C=81|D=80,80.00,A=0.65|B=0.56|C=1.01|D=1.00,"none","generated"
GEN-SWP-T10-bozhd0,SWP-T10,"NEW-5-EducationalPolicies",Academic,"A school is considering tracking students into different academic programs for students who have varying academic needs. What should the school psychologist recommend?","Use a screening tool to determine eligibility","A replacement behavior that serves a different function","Consider the limitations of tracking and ensure equal access to opportunities","Consider the limitations of tracking",C,"Consider the limitations of tracking and ensure equal access to opportunities",A=45|B=55|C=77|D=36,77.00,A=0.58|B=0.71|C=1.00|D=0.47,"irrelevant-domain, length-mismatch","generated"
GEN-RES-T11-u4mi42,RES-T11,"NEW-9-ProgramEvaluation",DBDM,"A school psychologist wants to evaluate the effectiveness of a reading intervention program. What is the most comprehensive approach?","Collect outcome data, process data, stakeholder feedback, and compare to baseline or control groups",Collect outcome data,"Decide on placement without examining evaluation results","Use a screening tool to determine eligibility",A,"Collect outcome data, process data, stakeholder feedback, and compare to baseline or control groups",A=99|B=20|C=56|D=45,99.00,A=1.00|B=0.20|C=0.57|D=0.45,"length-mismatch","generated"
GEN-RES-T11-efezcm,RES-T11,"NEW-9-ProgramEvaluation",DBDM,"A school psychologist wants to evaluate the effectiveness of a mental health program. What is the most comprehensive approach?","Low scores lead to special education placement because they are related","Use a screening tool to determine eligibility","Schedule assessment for next week","Collect outcome data, process data, stakeholder feedback, and compare to baseline or control groups",D,"Collect outcome data, process data, stakeholder feedback, and compare to baseline or control groups",A=71|B=45|C=33|D=99,99.00,A=0.72|B=0.45|C=0.33|D=1.00,"length-mismatch","generated"
"GEN-FSC-T05-5c9ngz",FSC-T05,NEW-7-FamilySystems,DBDM,"A core concept of Family Systems Theory is:","Students always need comprehensive evaluations before intervention","Intervention before assessment","Events affecting one family member affect the whole system","Use progress monitoring tools for program evaluation",C,"Events affecting one family member affect the whole system",A=66|B=30|C=58|D=52,58.00,A=1.14|B=0.52|C=1.00|D=0.90,"irrelevant-domain","generated"
GEN-MBH-T15-53ofgg,MBH-T15,"NEW-4-DevelopmentalInterventions",C&C,"A school psychologist is planning an intervention for a elementary school student who has difficulty managing emotions. Which approach is most developmentally appropriate?","Assign homework to the student","Concrete, play-based, visual strategies with shorter sessions","Ignoring cultural factors and family context in treatment planning and intervention design","Focusing on behavior modification when underlying emotional needs require attention",B,"Concrete, play-based, visual strategies with shorter sessions",A=30|B=61|C=90|D=83,61.00,A=0.49|B=1.00|C=1.48|D=1.36,"irrelevant-domain, length-mismatch","generated"
"GEN-MBH-T15-hmirnm",MBH-T15,"NEW-4-DevelopmentalInterventions",Academic,"A school psychologist is planning an intervention for a elementary school student who experiences anxiety. Which approach is most developmentally appropriate?","Concrete, play-based, visual strategies with shorter sessions","Implementing interventions without understanding the underlying function or maintaining...","A replacement behavior that serves a different function","Using individual therapy strategies when group intervention is appropriate",A,"Concrete, play-based, visual strategies with shorter sessions",A=61|B=90|C=55|D=74,61.00,A=1.00|B=1.48|C=0.90|D=1.21,"irrelevant-domain","generated"
GEN-MBH-T15-yha9xk,MBH-T15,"NEW-4-DevelopmentalInterventions",Academic,"A school psychologist is planning an intervention for a high school student who experiences anxiety. Which approach is most developmentally appropriate?","Applying play therapy approaches to adolescent concerns","The program resulted in improvement because scores increased after implementation","Abstract, discussion-based approaches with longer sessions and peer-focused activities","Implementing interventions without understanding the underlying function or maintaining factors",C,"Abstract, discussion-based approaches with longer sessions and peer-focused activities",A=55|B=81|C=86|D=95,86.00,A=0.64|B=0.94|C=1.00|D=1.10,"irrelevant-domain","generated"
GEN-MBH-T16-rhfa1a,MBH-T16,"NEW-4-MentalHealthImpact",Academic,"A student experiencing anxiety is likely to show which impact on school engagement?","Focusing only on academic performance without addressing emotional or social needs","Attention","Impact on academic performance, engagement, and learning","Applying school-based interventions when intensive outpatient treatment is needed",C,"Impact on academic performance, engagement, and learning",A=82|B=9|C=56|D=81,56.00,A=1.46|B=0.16|C=1.00|D=1.45,"irrelevant-domain, length-mismatch, single-word","generated"
GEN-MBH-T16-jbzlqu,MBH-T16,"NEW-4-MentalHealthImpact",Academic,"A student experiencing trauma is likely to show which impact on test-taking?","Apply the rule absolutely without considering context","Focusing only on academic performance without addressing emotional or social needs","Impact on academic performance, engagement, and learning","Using cognitive behavioral therapy techniques for trauma-focused needs",C,"Impact on academic performance, engagement, and learning",A=53|B=82|C=56|D=70,56.00,A=0.95|B=1.46|C=1.00|D=1.25,"none","generated"
GEN-ACAD-T10-gccqo6,ACAD-T10,"NEW-3-AccommodationsModifications",Academic,"A student with ADHD needs assistive technology for writing. This is an example of:","An accommodation (changes how the student accesses the curriculum)","Use a screening tool to determine eligibility","Cognitive Behavioral Therapy","Deny access to records without legal basis",A,"An accommodation (changes how the student accesses the curriculum)",A=66|B=45|C=28|D=42,66.00,A=1.00|B=0.68|C=0.42|D=0.64,"irrelevant-domain, length-mismatch","generated"
"GEN-ACAD-T10-ivu7un",ACAD-T10,"NEW-3-AccommodationsModifications",C&C,"A student with a physical disability needs extended time on tests. This is an example of:","An accommodation (changes how the student accesses the curriculum)","Assign homework to the student","Use a diagnostic assessment for weekly monitoring","Cognitive Behavioral Therapy",A,"An accommodation (changes how the student accesses the curriculum)",A=66|B=30|C=49|D=28,66.00,A=1.00|B=0.45|C=0.74|D=0.42,"irrelevant-domain, length-mismatch","generated"
GEN-ACAD-T10-kz4bc1,ACAD-T10,"NEW-3-AccommodationsModifications",Academic,"A student with a sensory impairment needs extended time on tests. This is an example of:","An accommodation (changes how the student accesses the curriculum)","Cognitive Behavioral Therapy","Use an individual assessment for universal screening","Include students with severe conduct disorders in group counseling",A,"An accommodation (changes how the student accesses the curriculum)",A=66|B=28|C=52|D=66,66.00,A=1.00|B=0.42|C=0.79|D=1.00,"irrelevant-domain, length-mismatch","generated"
GEN-CC-T09-xyxrhj,CC-T09,"NEW-2-FamilyCollaboration",C&C,"A school psychologist is working with a family from a collectivist culture who wants to collaborate on an intervention plan. What is the most effective strategy?","Allow full copying and release of test protocols","Involve the family as partners, recognize their strengths, and promote home-school collaboration","Using problem-solving consultation when mental health intervention is needed","Prescribing solutions before understanding the problem or building rapport",B,"Involve the family as partners, recognize their strengths, and promote home-school collaboration",A=48|B=96|C=76|D=74,96.00,A=0.50|B=1.00|C=0.79|D=0.77,"none","generated"
"GEN-CC-T09-b16rnm",CC-T09,"NEW-2-FamilyCollaboration",DBDM,"A school psychologist is working with a family from a diverse cultural background who wants to collaborate on an intervention plan. What is the most effective strategy?","Implementing consultation without establishing entry and rapport first","Involve the family as partners, recognize their strengths, and promote home-school collaboration","Focusing solely on the student without seeking teacher input or collaboration","Implement an intervention without reviewing assessment data",B,"Involve the family as partners, recognize their strengths, and promote home-school collaboration",A=70|B=96|C=77|D=59,96.00,A=0.73|B=1.00|C=0.80|D=0.61,"none","generated"
GEN-CC-T10-bbg7ik,CC-T10,"NEW-2-CommunityAgencies",C&C,"A school psychologist needs to coordinate services for a student who would benefit from postsecondary transition planning. What is the most appropriate approach for working with community agencies?","Rushing to action before problem identification and relationship building","Provide less than the required supervision hours","Facilitate interagency collaboration to connect the student with employment and postsecondary education opportunities","Implementing consultation without establishing entry and rapport first",C,"Facilitate interagency collaboration to connect the student with employment and postsecondary education opportunities",A=73|B=48|C=117|D=70,117.00,A=0.62|B=0.41|C=1.00|D=0.60,"length-mismatch","generated"
GEN-DBDM-T22-sb7b18,DBDM-T22,"NEW-1-LowIncidenceExceptionalities",DBDM,"When assessing a student with multiple severe disabilities, the school psychologist should:","Adapt assessment procedures","Use progress monitoring tools for program evaluation","Adapt assessment procedures, consider medical factors, involve specialists, and use appropriate accommodations","Determine appropriate punishment for the behavior",C,"Adapt assessment procedures, consider medical factors, involve specialists, and use appropriate accommodations",A=27|B=52|C=110|D=49,110.00,A=0.25|B=0.47|C=1.00|D=0.45,"length-mismatch","generated"
GEN-DBDM-T22-9itema,DBDM-T22,"NEW-1-LowIncidenceExceptionalities",DBDM,"When assessing a student with a severe physical disability, the school psychologist should:","Adapt assessment procedures","Use progress monitoring tools for program evaluation","Provide the best possible education","Adapt assessment procedures, consider medical factors, involve specialists, and use appropriate accommodations",D,"Adapt assessment procedures, consider medical factors, involve specialists, and use appropriate accommodations",A=27|B=52|C=35|D=110,110.00,A=0.25|B=0.47|C=0.32|D=1.00,"length-mismatch","generated"
GEN-SWP-T10-fcbekl,SWP-T10,"NEW-5-EducationalPolicies",School-Wide,"A school is considering grade retention based on immaturity for students who show different ability levels. What should the school psychologist recommend?","Question the effectiveness of retention and consider evidence-based alternatives","Question the effectiveness of retention","Schedule assessment for next week","Use a diagnostic assessment for weekly monitoring",A,"Question the effectiveness of retention and consider evidence-based alternatives",A=80|B=39|C=33|D=49,80.00,A=1.00|B=0.49|C=0.41|D=0.61,"length-mismatch","generated"
GEN-SWP-T10-r7fpak,SWP-T10,"NEW-5-EducationalPolicies",C&C,"A school is considering grade retention for students who are performing below grade level. What should the school psychologist recommend?","Use an individual assessment for universal screening","Share student records with outside agencies without consent","Question the effectiveness of retention and consider evidence-based alternatives","Assign homework to the student",C,"Question the effectiveness of retention and consider evidence-based alternatives",A=52|B=59|C=80|D=30,80.00,A=0.65|B=0.74|C=1.00|D=0.38,"length-mismatch","generated"
GEN-SWP-T10-8t4pc3,SWP-T10,"NEW-5-EducationalPolicies",Family,"A school is considering ability tracking for students who are immature for their grade. What should the school psychologist recommend?","Use progress monitoring tools for program evaluation","Consider the limitations of tracking and ensure equal access to opportunities","Allow full copying and release of test protocols","Investigate the abuse allegations before reporting",B,"Consider the limitations of tracking and ensure equal access to opportunities",A=52|B=77|C=48|D=50,77.00,A=0.68|B=1.00|C=0.62|D=0.65,"irrelevant-domain","generated"
GEN-ACAD-T11-9xv9oj,ACAD-T11,NEW-3-AcademicProgressFactors,Academic,"A student's academic progress is influenced by socioeconomic factors. Which factor is most likely to impact achievement?","Use a diagnostic assessment for weekly monitoring","Access to resources and stability","Provide direct instruction only","Deny access to records without legal basis",B,"Access to resources and stability",A=49|B=33|C=31|D=42,33.00,A=1.48|B=1.00|C=0.94|D=1.27,"irrelevant-domain","generated"
GEN-ACAD-T11-lf8txu,ACAD-T11,NEW-3-AcademicProgressFactors,Academic,"A student's academic progress is influenced by classroom factors. Which factor is most likely to impact achievement?","Apply the rule absolutely without considering context","Share student records with outside agencies without consent","Classroom climate and teacher-student relationships","Use an individual assessment for universal screening",C,"Classroom climate and teacher-student relationships",A=53|B=59|C=51|D=52,51.00,A=1.04|B=1.16|C=1.00|D=1.02,"irrelevant-domain","generated"
